CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.781250 1719152890.6229
MEM 27.050781 1719152890.7234
MEM 39.328125 1719152890.8239
MEM 49.804688 1719152890.9245
MEM 60.703125 1719152891.0249
MEM 71.742188 1719152891.1254
MEM 82.199219 1719152891.2258
MEM 91.953125 1719152891.3261
MEM 100.191406 1719152891.4262
MEM 107.382812 1719152891.5266
MEM 113.777344 1719152891.6267
MEM 122.160156 1719152891.7272
MEM 130.441406 1719152891.8276
MEM 137.839844 1719152891.9280
MEM 157.683594 1719152892.0286
MEM 479.761719 1719152892.1291
MEM 840.054688 1719152892.2347
MEM 692.437500 1719152892.3357
MEM 710.304688 1719152892.4362
MEM 733.257812 1719152892.5367
MEM 754.500000 1719152892.6370
MEM 770.328125 1719152892.7376
MEM 775.890625 1719152892.8381
MEM 783.953125 1719152892.9387
MEM 809.382812 1719152893.0392
MEM 822.195312 1719152893.1397
MEM 843.519531 1719152893.2402
MEM 865.617188 1719152893.3407
MEM 887.644531 1719152893.4412
MEM 888.519531 1719152893.5417
MEM 923.523438 1719152893.6422
MEM 850.656250 1719152893.7427
MEM 893.921875 1719152893.8432
MEM 895.347656 1719152893.9439
MEM 980.011719 1719152894.0444
MEM 927.585938 1719152894.1449
MEM 941.046875 1719152894.2454
MEM 888.496094 1719152894.3459
MEM 898.542969 1719152894.4464
MEM 920.988281 1719152894.5469
MEM 942.367188 1719152894.6474
MEM 1029.859375 1719152894.7479
MEM 966.644531 1719152894.8484
MEM 996.371094 1719152894.9489
MEM 927.566406 1719152895.0492
MEM 945.933594 1719152895.1497
MEM 966.476562 1719152895.2503
MEM 1029.781250 1719152895.3508
MEM 1005.703125 1719152895.4513
MEM 1008.425781 1719152895.5519
MEM 1041.734375 1719152895.6524
MEM 969.714844 1719152895.7529
MEM 990.949219 1719152895.8555
MEM 1012.363281 1719152895.9560
MEM 1074.625000 1719152896.0565
MEM 1044.789062 1719152896.1570
MEM 1059.656250 1719152896.2575
MEM 1044.785156 1719152896.3580
MEM 1044.792969 1719152896.4585
MEM 1044.792969 1719152896.5590
MEM 1044.792969 1719152896.6595
MEM 1044.792969 1719152896.7600
MEM 1103.406250 1719152896.8605
MEM 1146.792969 1719152896.9609
MEM 1308.933594 1719152897.0614
MEM 1313.902344 1719152897.1619
MEM 1344.023438 1719152897.2625
MEM 1347.597656 1719152897.3631
MEM 1371.476562 1719152897.4636
MEM 1347.597656 1719152897.5641
MEM 1319.398438 1719152897.6642
MEM 1347.597656 1719152897.7648
MEM 1364.265625 1719152897.8653
MEM 1530.738281 1719152897.9655
MEM 1572.222656 1719152898.0658
MEM 1963.718750 1719152898.1663
MEM 2513.378906 1719152898.2665
MEM 3376.441406 1719152898.3670
MEM 4315.753906 1719152898.4675
MEM 5238.378906 1719152898.5680
MEM 6174.816406 1719152898.6687
MEM 7098.941406 1719152898.7692
MEM 8042.691406 1719152898.8697
MEM 8991.191406 1719152898.9702
MEM 8818.421875 1719152899.0707
MEM 8818.988281 1719152899.1709
MEM 8833.152344 1719152899.2710
MEM 8863.964844 1719152899.3715
MEM 8894.777344 1719152899.4720
MEM 8925.527344 1719152899.5726
MEM 8957.339844 1719152899.6731
MEM 8990.089844 1719152899.7737
MEM 9020.964844 1719152899.8742
MEM 9053.464844 1719152899.9747
MEM 9085.464844 1719152900.0752
MEM 9116.589844 1719152900.1757
MEM 9147.152344 1719152900.2762
MEM 9179.152344 1719152900.3767
MEM 9210.589844 1719152900.4772
MEM 9242.027344 1719152900.5778
MEM 9274.152344 1719152900.6783
MEM 9304.527344 1719152900.7788
MEM 9336.714844 1719152900.8793
MEM 9367.027344 1719152900.9798
MEM 9400.152344 1719152901.0833
MEM 9431.894531 1719152901.1843
MEM 9464.527344 1719152901.2844
MEM 9496.152344 1719152901.3849
MEM 9526.527344 1719152901.4851
MEM 9558.839844 1719152901.5856
MEM 9591.339844 1719152901.6861
MEM 9623.214844 1719152901.7862
MEM 9654.777344 1719152901.8867
MEM 9686.589844 1719152901.9872
MEM 9716.902344 1719152902.0877
MEM 9748.589844 1719152902.1882
MEM 9780.089844 1719152902.2887
MEM 9811.089844 1719152902.3892
MEM 9841.277344 1719152902.4898
MEM 9872.277344 1719152902.5903
MEM 9905.152344 1719152902.6908
MEM 9936.464844 1719152902.7913
