CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 1.593750 1719160330.7864
MEM 25.671875 1719160330.8869
MEM 38.285156 1719160330.9874
MEM 48.417969 1719160331.0878
MEM 65.417969 1719160331.1880
MEM 88.601562 1719160331.2883
MEM 101.503906 1719160331.3888
MEM 112.664062 1719160331.4893
MEM 125.738281 1719160331.5897
MEM 137.003906 1719160331.6903
MEM 165.355469 1719160331.7908
MEM 397.003906 1719160331.8913
MEM 557.265625 1719160331.9914
MEM 572.109375 1719160332.0919
MEM 592.652344 1719160332.1922
MEM 603.082031 1719160332.2923
MEM 694.980469 1719160332.3928
MEM 633.710938 1719160332.4933
MEM 652.183594 1719160332.5939
MEM 671.757812 1719160332.6944
MEM 688.753906 1719160332.7949
MEM 661.753906 1719160332.8950
MEM 677.750000 1719160332.9955
MEM 694.679688 1719160333.0960
MEM 712.031250 1719160333.1970
MEM 679.339844 1719160333.2973
MEM 721.429688 1719160333.3978
MEM 717.582031 1719160333.4983
MEM 739.832031 1719160333.5985
MEM 704.449219 1719160333.6990
MEM 725.316406 1719160333.7995
MEM 740.476562 1719160333.9000
MEM 763.367188 1719160334.0002
MEM 726.707031 1719160334.1008
MEM 764.902344 1719160334.2013
MEM 763.320312 1719160334.3018
MEM 785.050781 1719160334.4023
MEM 763.355469 1719160334.5025
MEM 761.941406 1719160334.6033
MEM 797.703125 1719160334.7058
MEM 940.800781 1719160334.8063
MEM 922.386719 1719160334.9069
MEM 932.679688 1719160335.0074
MEM 926.363281 1719160335.1076
MEM 940.800781 1719160335.2082
MEM 962.476562 1719160335.3087
MEM 1072.425781 1719160335.4092
MEM 1405.531250 1719160335.5097
MEM 2255.468750 1719160335.6102
MEM 3156.156250 1719160335.7107
MEM 4044.468750 1719160335.8112
MEM 4931.093750 1719160335.9118
MEM 5418.378906 1719160336.0123
MEM 5318.226562 1719160336.1128
MEM 5336.285156 1719160336.2133
MEM 5367.722656 1719160336.3138
MEM 5398.785156 1719160336.4143
MEM 5430.847656 1719160336.5148
MEM 5463.285156 1719160336.6153
MEM 5494.597656 1719160336.7158
MEM 5527.410156 1719160336.8163
MEM 5560.535156 1719160336.9169
MEM 5592.847656 1719160337.0171
MEM 5625.285156 1719160337.1177
MEM 5657.785156 1719160337.2180
MEM 5689.910156 1719160337.3185
MEM 5721.847656 1719160337.4187
MEM 5753.910156 1719160337.5192
MEM 5785.472656 1719160337.6197
MEM 5817.597656 1719160337.7202
MEM 5850.097656 1719160337.8207
MEM 5883.097656 1719160337.9212
MEM 5915.910156 1719160338.0217
MEM 5947.660156 1719160338.1222
MEM 5978.910156 1719160338.2225
MEM 6010.035156 1719160338.3230
MEM 6043.347656 1719160338.4236
MEM 6076.035156 1719160338.5241
MEM 6105.917969 1719160338.6246
MEM 6136.910156 1719160338.7251
MEM 6168.285156 1719160338.8256
MEM 6199.035156 1719160338.9261
MEM 6229.597656 1719160339.0266
MEM 6259.347656 1719160339.1271
MEM 6290.597656 1719160339.2276
MEM 6321.660156 1719160339.3282
MEM 6352.097656 1719160339.4287
MEM 6383.097656 1719160339.5292
MEM 6415.222656 1719160339.6297
MEM 6446.472656 1719160339.7302
MEM 6478.785156 1719160339.8307
MEM 6511.847656 1719160339.9322
MEM 6542.472656 1719160340.0332
MEM 6574.847656 1719160340.1335
MEM 6607.097656 1719160340.2340
MEM 6637.921875 1719160340.3345
MEM 6670.472656 1719160340.4350
MEM 6700.472656 1719160340.5352
MEM 6731.160156 1719160340.6354
MEM 6761.285156 1719160340.7359
MEM 6792.597656 1719160340.8362
MEM 6823.847656 1719160340.9368
MEM 6855.035156 1719160341.0373
