CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 2.074219 1718824044.3096
MEM 27.488281 1718824044.4110
MEM 40.566406 1718824044.5115
MEM 53.554688 1718824044.6120
MEM 78.675781 1718824044.7125
MEM 96.957031 1718824044.8128
MEM 108.445312 1718824044.9133
MEM 121.351562 1718824045.0136
MEM 134.007812 1718824045.1141
MEM 151.550781 1718824045.2146
MEM 325.785156 1718824045.3151
MEM 493.175781 1718824045.4156
MEM 659.578125 1718824045.5161
MEM 711.949219 1718824045.6176
MEM 923.027344 1718824045.7181
MEM 1078.464844 1718824045.8186
MEM 819.289062 1718824045.9191
MEM 382.042969 1718824046.0196
MEM 382.042969 1718824046.1202
MEM 382.042969 1718824046.2207
MEM 381.164062 1718824046.3212
MEM 382.046875 1718824046.4217
MEM 382.046875 1718824046.5222
MEM 382.046875 1718824046.6227
MEM 382.046875 1718824046.7232
MEM 380.906250 1718824046.8237
MEM 382.046875 1718824046.9242
MEM 382.046875 1718824047.0247
MEM 382.046875 1718824047.1252
MEM 380.710938 1718824047.2257
MEM 381.992188 1718824047.3263
MEM 382.046875 1718824047.4268
MEM 382.046875 1718824047.5273
MEM 381.351562 1718824047.6278
MEM 382.046875 1718824047.7283
MEM 382.046875 1718824047.8288
MEM 382.046875 1718824047.9293
MEM 380.710938 1718824048.0298
MEM 381.921875 1718824048.1303
MEM 382.046875 1718824048.2308
MEM 382.046875 1718824048.3313
MEM 381.468750 1718824048.4318
MEM 382.046875 1718824048.5324
MEM 382.046875 1718824048.6329
MEM 382.046875 1718824048.7334
MEM 380.710938 1718824048.8339
MEM 381.609375 1718824048.9344
MEM 382.046875 1718824049.0349
MEM 382.046875 1718824049.1354
MEM 380.710938 1718824049.2357
MEM 381.937500 1718824049.3359
MEM 382.046875 1718824049.4361
MEM 380.710938 1718824049.5367
MEM 382.046875 1718824049.6372
MEM 382.046875 1718824049.7377
MEM 380.710938 1718824049.8382
MEM 381.937500 1718824049.9387
MEM 382.046875 1718824050.0392
MEM 380.710938 1718824050.1397
MEM 382.003906 1718824050.2402
MEM 382.046875 1718824050.3407
MEM 381.101562 1718824050.4412
MEM 382.046875 1718824050.5417
MEM 380.710938 1718824050.6422
MEM 382.046875 1718824050.7428
MEM 380.832031 1718824050.8433
MEM 398.781250 1718824050.9438
MEM 419.539062 1718824051.0443
MEM 434.433594 1718824051.1449
MEM 441.226562 1718824051.2454
