Part,Tool,Prev1Tool,Prev2Tool,ChuckID
P1,TOOL_A,PR1_A,BASE,#C1
P1,TOOL_A,PR1_A,BASE,#C2
P1,TOOL_A,PR1_B,BASE,#C1
P1,TOOL_A,PR1_B,BASE,#C2
P1,TOOL_B,PR1_A,BASE,#C1
P1,TOOL_B,PR1_A,BASE,#C2
P1,TOOL_B,PR1_B,BASE,#C1
P1,TOOL_B,PR1_B,BASE,#C2
P2,TOOL_A,PR1_A,BASE,#C1
P2,TOOL_A,PR1_A,BASE,#C2
P2,TOOL_A,PR1_B,BASE,#C1
P2,TOOL_A,PR1_B,BASE,#C2
P2,TOOL_B,PR1_A,BASE,#C1
P2,TOOL_B,PR1_A,BASE,#C2
P2,TOOL_B,PR1_B,BASE,#C1
P2,TOOL_B,PR1_B,BASE,#C2
P3,TOOL_A,PR1_A,BASE,#BASE
P3,TOOL_A,PR1_B,BASE,#BASE
P3,TOOL_B,PR1_A,BASE,#BASE
P3,TOOL_B,PR1_B,BASE,#BASE
P4,TOOL_A,PR1_A,BASE,#BASE
P4,TOOL_A,PR1_B,BASE,#BASE
P4,TOOL_B,PR1_A,BASE,#BASE
P4,TOOL_B,PR1_B,BASE,#BASE
