Part,Tool,Prev1Tool,Prev2Tool,ChuckID
P3,TOOL_A,PR1_A,BASE,#BASE
P3,TOOL_A,PR1_A,PR2_A,#BASE
P3,TOOL_A,PR1_A,PR2_B,#BASE
P3,TOOL_A,PR1_B,BASE,#BASE
P3,TOOL_A,PR1_B,PR2_A,#BASE
P3,TOOL_A,PR1_B,PR2_B,#BASE
P3,TOOL_B,PR1_A,BASE,#BASE
P3,TOOL_B,PR1_A,PR2_A,#BASE
P3,TOOL_B,PR1_A,PR2_B,#BASE
P3,TOOL_B,PR1_B,BASE,#BASE
P3,TOOL_B,PR1_B,PR2_A,#BASE
P3,TOOL_B,PR1_B,PR2_B,#BASE
P4,TOOL_A,PR1_A,BASE,#BASE
P4,TOOL_A,PR1_A,PR2_A,#BASE
P4,TOOL_A,PR1_A,PR2_B,#BASE
P4,TOOL_A,PR1_B,BASE,#BASE
P4,TOOL_A,PR1_B,PR2_A,#BASE
P4,TOOL_A,PR1_B,PR2_B,#BASE
P4,TOOL_B,PR1_A,BASE,#BASE
P4,TOOL_B,PR1_A,PR2_A,#BASE
P4,TOOL_B,PR1_A,PR2_B,#BASE
P4,TOOL_B,PR1_B,BASE,#BASE
P4,TOOL_B,PR1_B,PR2_A,#BASE
P4,TOOL_B,PR1_B,PR2_B,#BASE
