CMDLINE c:\Users\CHL_Z790\anaconda3\python.exe .\pair_dist.py
MEM 2.250000 1718824615.9717
MEM 27.421875 1718824616.0726
MEM 40.589844 1718824616.1727
MEM 51.292969 1718824616.2740
MEM 67.093750 1718824616.3741
MEM 80.632812 1718824616.4750
MEM 90.695312 1718824616.5754
MEM 99.621094 1718824616.6759
MEM 107.636719 1718824616.7764
MEM 114.062500 1718824616.8765
MEM 122.136719 1718824616.9774
MEM 130.660156 1718824617.0778
MEM 137.632812 1718824617.1782
MEM 169.085938 1718824617.2787
MEM 345.003906 1718824617.3792
MEM 513.425781 1718824617.4798
MEM 684.652344 1718824617.5803
MEM 844.140625 1718824617.6809
MEM 923.289062 1718824617.7814
MEM 1117.179688 1718824617.8820
MEM 547.550781 1718824617.9825
MEM 382.351562 1718824618.0828
MEM 381.609375 1718824618.1830
MEM 382.355469 1718824618.2834
MEM 382.355469 1718824618.3837
MEM 382.074219 1718824618.4842
MEM 382.355469 1718824618.5845
MEM 382.355469 1718824618.6850
MEM 382.308594 1718824618.7852
MEM 381.378906 1718824618.8868
MEM 382.355469 1718824618.9879
MEM 381.019531 1718824619.0884
MEM 382.355469 1718824619.1890
MEM 382.355469 1718824619.2892
MEM 382.218750 1718824619.3898
MEM 382.355469 1718824619.4900
MEM 382.355469 1718824619.5903
MEM 382.355469 1718824619.6905
MEM 382.230469 1718824619.7908
MEM 382.355469 1718824619.8910
MEM 381.242188 1718824619.9912
MEM 382.355469 1718824620.0915
MEM 382.355469 1718824620.1918
MEM 382.355469 1718824620.2923
MEM 382.355469 1718824620.3929
MEM 381.019531 1718824620.4932
MEM 381.019531 1718824620.5938
MEM 382.179688 1718824620.6944
MEM 382.355469 1718824620.7949
MEM 381.019531 1718824620.8952
MEM 382.355469 1718824620.9957
MEM 382.355469 1718824621.0959
MEM 381.019531 1718824621.1963
MEM 382.355469 1718824621.2967
MEM 382.355469 1718824621.3967
MEM 381.019531 1718824621.4972
MEM 382.105469 1718824621.5977
MEM 382.355469 1718824621.6984
MEM 381.316406 1718824621.7985
MEM 382.355469 1718824621.8993
MEM 382.355469 1718824621.9994
MEM 382.355469 1718824622.0998
MEM 382.070312 1718824622.1999
MEM 382.355469 1718824622.3004
MEM 382.355469 1718824622.4009
MEM 381.578125 1718824622.5012
MEM 382.355469 1718824622.6015
MEM 382.355469 1718824622.7018
MEM 382.355469 1718824622.8020
MEM 387.996094 1718824622.9023
MEM 409.500000 1718824623.0027
MEM 419.992188 1718824623.1033
MEM 487.839844 1718824623.2034
MEM 454.265625 1718824623.3038
MEM 473.972656 1718824623.4048
MEM 487.730469 1718824623.5052
MEM 465.839844 1718824623.6054
MEM 488.058594 1718824623.7058
MEM 497.585938 1718824623.8064
MEM 478.187500 1718824623.9069
MEM 499.042969 1718824624.0073
MEM 517.000000 1718824624.1074
MEM 497.578125 1718824624.2079
MEM 511.214844 1718824624.3084
MEM 532.285156 1718824624.4088
MEM 546.117188 1718824624.5092
MEM 529.019531 1718824624.6097
MEM 545.464844 1718824624.7103
MEM 555.804688 1718824624.8108
MEM 547.867188 1718824624.9111
MEM 538.710938 1718824625.0117
MEM 584.886719 1718824625.1121
MEM 706.109375 1718824625.2127
MEM 706.109375 1718824625.3128
MEM 706.109375 1718824625.4133
MEM 706.109375 1718824625.5138
MEM 706.109375 1718824625.6141
MEM 900.726562 1718824625.7142
MEM 1067.625000 1718824625.8144
MEM 1981.125000 1718824625.9148
MEM 2908.500000 1718824626.0150
MEM 3827.812500 1718824626.1153
MEM 4765.187500 1718824626.2157
MEM 5034.585938 1718824626.3160
MEM 5034.593750 1718824626.4166
MEM 5052.480469 1718824626.5169
MEM 5078.792969 1718824626.6174
MEM 5104.230469 1718824626.7180
MEM 5130.417969 1718824626.8184
MEM 5156.062500 1718824626.9189
MEM 5181.542969 1718824627.0194
MEM 5207.167969 1718824627.1198
MEM 5233.292969 1718824627.2204
MEM 5258.917969 1718824627.3206
MEM 5284.605469 1718824627.4208
MEM 5310.667969 1718824627.5213
MEM 5336.292969 1718824627.6215
MEM 5361.605469 1718824627.7219
MEM 5387.042969 1718824627.8220
MEM 5412.292969 1718824627.9224
MEM 5438.355469 1718824628.0226
MEM 5464.292969 1718824628.1231
MEM 5490.480469 1718824628.2232
MEM 5515.542969 1718824628.3235
MEM 5541.855469 1718824628.4239
MEM 5567.542969 1718824628.5244
MEM 5593.417969 1718824628.6248
MEM 5619.042969 1718824628.7254
MEM 5644.480469 1718824628.8259
MEM 5670.480469 1718824628.9262
MEM 5695.980469 1718824629.0267
MEM 5722.167969 1718824629.1273
MEM 5749.167969 1718824629.2278
MEM 5775.355469 1718824629.3281
MEM 5800.542969 1718824629.4285
MEM 5825.917969 1718824629.5287
MEM 5851.292969 1718824629.6289
MEM 5875.980469 1718824629.7293
MEM 5900.980469 1718824629.8294
MEM 5926.230469 1718824629.9296
MEM 5951.792969 1718824630.0299
MEM 5978.605469 1718824630.1304
MEM 6004.980469 1718824630.2307
MEM 6030.093750 1718824630.3312
MEM 6056.730469 1718824630.4315
MEM 6083.542969 1718824630.5320
MEM 6109.292969 1718824630.6323
MEM 6134.101562 1718824630.7328
MEM 6158.730469 1718824630.8333
MEM 6184.605469 1718824630.9338
MEM 6210.292969 1718824631.0341
MEM 6236.230469 1718824631.1345
MEM 6262.101562 1718824631.2350
MEM 6288.355469 1718824631.3354
MEM 6314.542969 1718824631.4357
MEM 6341.230469 1718824631.5361
MEM 6366.730469 1718824631.6365
MEM 6392.078125 1718824631.7370
MEM 6416.980469 1718824631.8374
MEM 6443.167969 1718824631.9380
MEM 6467.917969 1718824632.0382
MEM 6492.730469 1718824632.1387
MEM 6518.355469 1718824632.2388
MEM 6544.605469 1718824632.3392
MEM 6570.792969 1718824632.4394
MEM 6597.417969 1718824632.5398
MEM 6623.855469 1718824632.6404
MEM 6650.605469 1718824632.7406
MEM 6677.417969 1718824632.8408
MEM 6703.355469 1718824632.9412
MEM 6729.355469 1718824633.0414
MEM 6755.480469 1718824633.1416
MEM 6782.980469 1718824633.2419
MEM 6810.542969 1718824633.3423
MEM 6837.480469 1718824633.4424
MEM 6861.917969 1718824633.5427
MEM 6886.730469 1718824633.6432
MEM 6912.480469 1718824633.7435
MEM 6938.167969 1718824633.8438
MEM 6964.355469 1718824633.9442
MEM 6990.605469 1718824634.0448
MEM 7016.292969 1718824634.1451
MEM 7043.167969 1718824634.2452
MEM 7069.980469 1718824634.3456
MEM 7096.730469 1718824634.4460
MEM 7122.417969 1718824634.5463
MEM 7148.167969 1718824634.6464
MEM 7174.070312 1718824634.7469
MEM 7201.230469 1718824634.8473
MEM 7228.542969 1718824634.9478
MEM 7253.605469 1718824635.0482
MEM 7277.917969 1718824635.1484
